idSanremo,annoSanremo,periodoSanremo,sede,presentatore,partecipanti,vincitore,cantanteID,cantante,posizione,canzone,canzoneID,tipo,durata,popolarità,autori,urlAlbum,partecipazioni,vittorie,numero_autori,cantante_autore,Sesso
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,1º,Grazie dei fiori,1,Solista,,,"Gian Carlo Testoni,Mario Panzeri",,6,2.0,2,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,2º,La luna si veste d'argento,2,Non Solista,,,Biri,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,2º,La luna si veste d'argento,2,Non Solista,,,Biri,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,3º,Serenata a nessuno,3,Solista,,,Walter Colì,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,F,Al mercato di Pizzighettone,4,Non Solista,,,Aldo Locatelli,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,F,Al mercato di Pizzighettone,4,Non Solista,,,Aldo Locatelli,,5,,1,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,F,Eco tra gli abeti,5,Non Solista,,,Enzo Bonagura,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,F,Eco tra gli abeti,5,Non Solista,,,Enzo Bonagura,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,F,Famme durmì,6,Non Solista,,,Danpa,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,F,Famme durmì,6,Non Solista,,,Danpa,,5,,1,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,F,La cicogna distratta,7,Solista,,,"Aldo Valleroni,Da Rovere",,5,,2,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,F,La margherita,8,Non Solista,,,Ester B. Valdes,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,F,La margherita,8,Non Solista,,,Ester B. Valdes,,5,,1,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,F,Sedici anni,9,Solista,,,Astro Mari,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,F,Sotto il mandorlo,10,Solista,,,"Gian Carlo Testoni,Mario Panzeri",,5,,2,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,NF,È l'alba,11,Solista,,,Gian Carlo Testoni,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,NF,Ho pianto una volta sola,12,Solista,,,Pinchi,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,NF,Mai più,13,Solista,,,Filippo Rolando,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,NF,Mani che si cercano,14,Solista,,,Giovanna Colombi,,7,,1,0,Uomo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,NF,Mia cara Napoli,15,Solista,,,Salvatore Mazzocco,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,1,Nilla Pizzi,NF,Notte di Sanremo,16,Solista,,,Enzo Luigi Poletto,,6,,1,0,Donna
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,3,Duo Fasano,NF,Oro di Napoli,17,Solista,,,Umberto Bertini,,5,,1,0,Gruppo
1,1951,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,2,Achille Togliani,NF,Sei fatta per me,18,Non Solista,,,Guido Quattrini,,7,,1,0,Uomo
