Edizione,Anno,Telespettatori_PrimaSerata,Telespettatori_SecondaSerata,Telespettatori_TerzaSerata,Telespettatori_QuartaSerata,Telespettatori_QuintaSerata,Telespettatori_Media,Share_PrimaSerata,Share_SecondaSerata,Share_TerzaSerata,Share_QuartaSerata,Share_QuintaSerata,Share_Media
37,1987,17 500 000,14 800 000,13 200 000,18 300 000,,15 950 000,0.663,0.644,0.675,0.775,,0.6871
38,1988,15 500 000,13 000 000,13 900 000,15 200 000,,14 400 000,0.695,0.5824,0.5469,0.7101,,0.6335
39,1989,17 000 000,17 000 000,12 300 000,12 800 000,15 900 000,15 000 000,0.6568,0.6514,0.6151,0.6293,0.7543,0.6613
40,1990,13 639 000,16 926 000,12 357 000,14 341 000,,14 316 000,0.5371,0.6097,0.6459,0.7626,,0.6388
41,1991,15 023 000,12 550 000,9 837 000,11 156 000,,13 786 000,0.5463,0.4756,0.4685,0.6011,,0.5229
42,1992,16 614 000,15 527 000,14 593 000,14 575 000,,15 275 000,0.5768,0.5794,0.5604,0.6962,,0.6032
43,1993,14 736 000,13 998 000,14 427 000,16 786 000,,15 267 000,0.5442,0.4985,0.5101,0.6917,,0.5611
44,1994,13 400 000,11 300 000,12 700 000,13 100 000,,12 625 000,0.5693,0.4477,0.5218,0.6063,,0.5363
45,1995,15 602 000,18 389 000,15 825 000,16 804 000,17 601 000,16 845 000,0.6514,0.6542,0.6047,0.6581,0.7522,0.6642
46,1996,11 268 000,12 981 000,12 557 000,13 003 000,13 862 000,12 734 000,0.5331,0.4813,0.4695,0.5394,0.6286,0.5299
47,1997,13 140 000,13 626 000,13 997 000,13 382 000,15 562 000,13 937 000,0.5874,0.5236,0.5555,0.5563,0.6829,0.5811
48,1998,11 083 000,12 788 000,13 006 000,12 742 000,15 067 000,13 694 000,0.5447,0.4654,0.4827,0.496,0.627,0.5262
49,1999,16 234 000,13 755 000,14 167 000,13 639 000,15 649 000,14 548 000,0.5675,0.4937,0.5394,0.5406,0.6408,0.5602
50,2000,15 907 000,13 171 000,11 888 000,11 786 000,15 223 000,12 920 000,0.5718,0.516,0.473,0.4982,0.6545,0.5425
51,2001,12 160 000,10 298 000,10 145 000,10 010 000,12 998 000,10 989 000,0.5198,0.4385,0.4301,0.4301,0.5725,0.4742
52,2002,12 461 000,10 397 000,10 382 000,9 758 000,13 397 000,11 479 000,0.5622,0.4723,0.4856,0.5034,0.6266,0.5402
53,2003,9 257 000,8 842 000,8 392 000,7 813 000,9 828 000,8 888 000,0.4255,0.4039,0.3719,0.3823,0.5412,0.4344
54,2004,10 104 000,8 402 000,6 961 000,9 742 000,9 527 000,8 947 000,0.4248,0.3374,0.2928,0.4069,0.4857,0.3898
55,2005,12 218 000,11 185 000,11 560 000,10 387 000,13 606 000,11 366 000,0.5478,0.528,0.5105,0.5018,0.5508,0.5279
56,2006,9 141 000,8 235 000,6 234 000,8 267 000,9 523 000,8 280 000,0.4445,0.3733,0.3349,0.3674,0.4823,0.4017
57,2007,9 760 000,8 973 000,8 945 000,8 682 000,12 309 000,9 731 000,0.4544,0.4705,0.4358,0.4818,0.5532,0.4807
58,2008,7 680 000,6 500 000,6 152 000,5 305 000,9 600 000,6 810 000,0.3646,0.3233,0.322,0.3228,0.449,0.3656
59,2009,10 114 000,9 856 000,9 238 000,10 219 000,12 309 000,10 335 000,0.4793,0.4264,0.4716,0.4747,0.5425,0.4796
60,2010,10 718 000,10 163 000,10 005 000,11 274 000,12 462 000,10 924 000,0.4529,0.4388,0.4602,0.5074,0.5321,0.4784
61,2011,11 992 000,10 145 000,12 363 000,10 617 000,12 136 000,11 451 000,0.4632,0.4267,0.5089,0.4691,0.5212,0.477
62,2012,12 764 000,9 199 000,10 537 000,9 931 000,13 287 000,11 136 000,0.4969,0.3926,0.4784,0.4191,0.5743,0.4729
63,2013,12 969 000,11 330 000,10 709 000,11 538 000,12 997 000,11 937 000,0.482,0.4289,0.4248,0.4817,0.538,0.4749
64,2014,10 938 000,7 711 000,7 673 000,8 188 000,9 348 000,8 763 000,0.4593,0.3395,0.3494,0.3797,0.4351,0.3932
65,2015,11 767 000,10 091 000,10 586 000,9 857 000,11 843 000,10 837 000,0.4934,0.417,0.4951,0.4782,0.5421,0.4864
66,2016,11 134 000,10 748 000,10 462 000,10 164 000,11 222 000,10 746 000,0.4948,0.4991,0.4788,0.4781,0.5252,0.4958
67,2017,11 374 000,10 367 000,10 420 000,9 886 000,12 022 000,10 853 000,0.5037,0.466,0.497,0.4705,0.584,0.5042
68,2018,11 603 000,9 687 000,10 825 000,10 108 000,12 125 000,10 869 000,0.521,0.477,0.516,0.511,0.583,0.5216
69,2019,10 086 000,9 144 000,9 409 000,9 552 000,10 622 000,9 763 000,0.495,0.473,0.467,0.461,0.565,0.4938
70,2020,10 058 000,9 693 000,9 836 000,9 504 000,11 477 000,10 114 000,0.522,0.533,0.545,0.533,0.606,0.5478
71,2021,8 363 000,7 586 000,7 653 000,8 014 000,10 715 000,8 466 000,0.466,0.421,0.443,0.447,0.535,0.4624
72,2022,10 911 000,11 320 000,9 360 000,11 378 000,13 380 000,11 270 000,0.547,0.558,0.541,0.605,0.649,0.58
73,2023,10 757 000,10 545 000,9 240 000,11 121 000,12 256 000,10 625 000,0.624,0.623,0.576,0.665,0.6604,0.6338
74,2024,10 561 000,10 361 000,10 001 000,11 893 000,14 301 000,11 423 000,0.651,0.601,0.601,0.678,0.741,0.6544
75,2025,12 218 000,11 410 000,10 404 000,13 187 000,13 016 000,12 047 000,0.65,0.641,0.597,0.704,0.727,0.6638
